reported_date,province_state,population,lat,lng,confirmed,active,deaths,recovered,hospitalization_rate,incident_rate,mortality_rate,people_hospitalized,people_tested,testing_rate
2020-04-15,Alabama,4903185,32.3182,-86.9023,4075,3957,118,,12.88,86.91,2.9,525,34077,726.76
2020-04-14,Alabama,4903185,32.3182,-86.9023,3953,3839,114,,12.47,84.31,2.88,493,33117,706.29
2020-04-13,Alabama,4903185,32.3182,-86.9023,3734,3635,99,,12.24,79.63,2.65,457,29182,622.36
2020-04-12,Alabama,4903185,32.3182,-86.9023,3563,3470,93,,12.26,75.99,2.61,437,21583,460.3
2020-04-18,Alabama,4903185,32.3182,-86.9023,4712,4559,153,,13.16,100.49,3.25,620,42538,907.21
2020-04-17,Alabama,4903185,32.3182,-86.9023,4571,4423,148,,12.99,97.49,3.24,594,37848,807.18
2020-04-16,Alabama,4903185,32.3182,-86.9023,4345,4212,133,,12.73,92.67,3.06,553,36391,776.11
2020-04-23,Alabama,4903185,32.3182,-86.9023,5832,5630,202,,13.17,124.38,3.46,768,52641,1122.67
2020-04-22,Alabama,4903185,32.3182,-86.9023,5593,5397,196,,13.05,119.28,3.5,730,48760,1039.9
2020-04-21,Alabama,4903185,32.3182,-86.9023,5317,5134,183,,13.15,113.4,3.44,699,48526,1034.91
2020-04-20,Alabama,4903185,32.3182,-86.9023,5079,4916,163,,12.62,108.32,3.21,641,45900,978.91
2020-04-19,Alabama,4903185,32.3182,-86.9023,4888,4731,157,,13.11,104.25,3.21,641,45712,974.9
2020-04-26,Alabama,4903185,32.3182,-86.9023,6421,6202,219,,13.16,136.94,3.41,845,73551,1568.62
2020-04-25,Alabama,4903185,32.3182,-86.9023,6026,5817,209,,13.92,128.52,3.47,839,71344,1521.55
2020-04-24,Alabama,4903185,32.3182,-86.9023,6026,5817,209,,12.76,128.52,3.47,769,52889,1127.96
2020-04-30,Alabama,4903185,32.3182,-86.9023,7088,6816,272,0,13.8,151.17,3.84,978,87196,1859.63
2020-04-29,Alabama,4903185,32.3182,-86.9023,6912,6656,256,,13.67,147.41,3.7,945,80449,1715.73
2020-04-28,Alabama,4903185,32.3182,-86.9023,6750,6508,242,,13.5,143.96,3.59,911,75827,1617.16
2020-04-27,Alabama,4903185,32.3182,-86.9023,6539,6311,228,,13.34,139.46,3.49,872,73997,1578.13
2020-05-05,Alabama,4903185,32.3182,-86.9023,8437,8122,315,,13.12,179.94,3.73,1107,106766,2277
2020-05-04,Alabama,4903185,32.3182,-86.9023,8112,7814,298,0,13.12,173,3.67,1064,103117,2199.17
2020-05-03,Alabama,4903185,32.3182,-86.9023,7888,7598,290,0,13.12,168.23,3.68,1035,92500,1972.75
2020-05-02,Alabama,4903185,32.3182,-86.9023,7611,7323,288,0,13.44,162.32,3.78,1023,92209,1966.54
2020-05-01,Alabama,4903185,32.3182,-86.9023,7294,7005,289,0,13.82,155.56,3.96,1008,91933,1960.65
2020-05-08,Alabama,4903185,32.3182,-86.9023,9385,9002,383,,12.86,200.15,4.08,1207,120114,2561.67
2020-05-07,Alabama,4903185,32.3182,-86.9023,9046,8677,369,,13.02,192.92,4.08,1178,115173,2456.29
2020-05-06,Alabama,4903185,32.3182,-86.9023,8691,8348,343,,13.32,185.35,3.95,1158,109516,2335.65
2020-05-12,Alabama,4903185,32.3182,-86.9023,10464,10029,435,,12.3,223.17,4.16,1287,133218,2841.14
2020-05-11,Alabama,4903185,32.3182,-86.9023,10164,9761,403,,12.36,216.77,3.96,1256,129444,2760.65
2020-05-10,Alabama,4903185,32.3182,-86.9023,9889,9496,393,,12.54,210.9,3.97,1240,127421,2717.5
2020-05-09,Alabama,4903185,32.3182,-86.9023,9668,9278,390,,12.7,206.19,4.03,1228,125494,2676.41
2020-05-16,Alabama,4903185,32.3182,-86.9023,11674,11189,485,,11.88,238.09,4.15,1387,153494,3130.5
2020-05-15,Alabama,4903185,32.3182,-86.9023,11373,10890,483,,12.11,231.95,4.25,1377,146063,2978.94
2020-05-14,Alabama,4903185,32.3182,-86.9023,11101,10628,473,,12.16,226.4,4.26,1350,141985,2895.77
2020-05-13,Alabama,4903185,32.3182,-86.9023,10700,10250,450,,12.31,228.2,4.21,1317,136372,2908.4
2020-05-19,Alabama,4903185,32.3182,-86.9023,12376,11872,504,,11.74,252.41,4.07,1453,157566,3213.54
2020-05-18,Alabama,4903185,32.3182,-86.9023,12086,11597,489,,11.72,246.49,4.05,1416,157123,3204.51
2020-05-17,Alabama,4903185,32.3182,-86.9023,11771,11283,488,,11.83,240.07,4.15,1392,156350,3188.74
2020-05-23,Alabama,4903185,32.3182,-86.9023,14117,5617,549,7951,11.26,287.91,3.89,1589,182676,3725.66
2020-05-22,Alabama,4903185,32.3182,-86.9023,13670,5178,541,7951,11.42,278.8,3.96,1561,177768,3625.56
2020-05-21,Alabama,4903185,32.3182,-86.9023,13288,12759,529,,11.5,271.01,3.98,1528,170739,3482.21
2020-05-20,Alabama,4903185,32.3182,-86.9023,13052,12530,522,,11.44,266.19,4,1493,164450,3353.94
2020-05-28,Alabama,4903185,32.3182,-86.9023,16530,6584,591,9355,10.68,337.13,3.58,1765,200481,4088.79
2020-05-27,Alabama,4903185,32.3182,-86.9023,16032,7498,583,7951,10.72,326.97,3.64,1719,195794,3993.2
2020-05-26,Alabama,4903185,32.3182,-86.9023,15650,7119,580,7951,10.68,319.18,3.71,1671,193759,3951.7
2020-05-25,Alabama,4903185,32.3182,-86.9023,14986,6469,566,7951,10.87,305.64,3.78,1629,190315,3881.46
